ric,ticker,isin,exchange_name,coverage_role
AFCG.OQ,AFCG,US00109K1051,NASDAQ Stock Exchange Global Market,native_equity
AFFX.OQ,AFFX,,,native_equity
AFFY.OQ,AFFY,,,native_equity
AFG.N,AFG,US0259321042,New York Stock Exchange,native_equity
AFH.OQ,AFH,,,native_equity
AFIB.PK,AFIB,US0051111096,USA Pink Sheets,native_equity
AFIIQ.PK,AFIIQ,US04238R1068,USA Pink Sheets,native_equity
AFL.II,AFL,,,native_equity
AFL.N,AFL,US0010551028,New York Stock Exchange,native_equity
AFNF.ICEM,AFNF,US88870R1023,TPICAP,native_equity
AFOP.OQ,AFOP,,,native_equity
AFR.B,AFR,,,native_equity
AFRI.OQ,AFRI,GI000A3DNK69,NASDAQ Stock Exchange Capital Market,native_equity
AFRM.OQ,AFRM,US00827B1061,Nasdaq Stock Exchange Global Select Market,native_equity
AFSRP.CJ,AFSR,US33813J1060,Costa Rica Exchange,native_equity
AG.TO,AG,CA32076V1031,The Toronto Stock Exchange,native_equity
AGAF.TPRM,AGAF,US0171751003,TPICAP,native_equity
AGCO.N,AGCO,US0010841023,New York Stock Exchange,native_equity
AGEN.OQ,AGEN,US00847G8042,NASDAQ Stock Exchange Capital Market,native_equity
AGG,AGG,US4642872265,NYSE Arca Consolidated,projection_only
AGIL.IX,AGIL,,,native_equity
AGIO.OQ,AGIO,US00847X1046,Nasdaq Stock Exchange Global Select Market,native_equity
AGL.N,AGL,US00857U1079,New York Stock Exchange,native_equity
AGM.N,AGM,US3131483063,New York Stock Exchange,native_equity
AGN.II,AGN,,,native_equity
AGN.N,AGN,,,native_equity
AGN^E20,AGN^E20,IE00BY9D5467,New York Consolidated,native_equity
AGO.P,AGO,BMG0585R1060,NYSE Arca,native_equity
AGP^L12,AGP,US03073T1025,New York Consolidated,native_equity
AGX.N,AGX,US04010E1091,New York Stock Exchange,native_equity
AGYS.OQ,AGYS,US00847J1051,Nasdaq Stock Exchange Global Select Market,native_equity
AH.N,AH,,,native_equity
AHCO.OQ,AHCO,US00653Q1022,NASDAQ Stock Exchange Capital Market,native_equity
AHG.B,AHG,US98422P1084,Boston SE when trading NASDAQ Global Market,native_equity
AHL.N,AHL,BMG053845019,New York Stock Exchange,native_equity
AHM.TH,AHM,,,native_equity
AHR.N,AHR,US3981823038,New York Stock Exchange,native_equity
AHRT.N,AHRT,US04208T1088,New York Stock Exchange,native_equity
AHT.N,AHT,US0441037944,New York Stock Exchange,native_equity
AI.N,AI,US12468P1049,New York Stock Exchange,native_equity
AIG.N,AIG,US0268747849,New York Stock Exchange,native_equity
AII.N,AII,US0269481091,New York Stock Exchange,native_equity
AIMTN.BCU,AIMTN,US00900T1079,BATS Europe,native_equity
AIN.N,AIN,US0123481089,New York Stock Exchange,native_equity
AINV.OQ,AINV,,,native_equity
AIOT.OQ,AIOT,US73931J1097,NASDAQ Stock Exchange Global Market,native_equity
AIP.OQ,AIP,US04302A1043,NASDAQ Stock Exchange Global Market,native_equity
AIQ.OQ,AIQ,US37954Y6326,NASDAQ Stock Exchange Global Market,projection_only
AIR.N,AIR,US0003611052,New York Stock Exchange,native_equity
AIRG.OQ,AIRG,US00938A1043,NASDAQ Stock Exchange Capital Market,native_equity
